Index,Location,Year
57,Donawa & Associates Ltd.,2001
58,"Donawa and Associates Ltd, Rome, Italy.",2000
59,"Donawa and Associates Ltd, Rome, Italy.",2000
60,"Donawa and Associates Ltd, Rome, Italy.",2000
61,"Donawa and Associates Ltd, Rome, Italy.",2000
62,"Donawa and Associates Ltd, Rome, Italy.",2000
63,"Clinical Engineering Department, Royal University of Liverpool Hospital, UK.",2005
64,"Department of Clinical Engineering, University of Liverpool.",2004
65,"Department of Clinical Engineering, University of Liverpool.",2004
66,"Department of Clinical Engineering, University of Liverpool.",2003
67,"Department of Clinical Engineering, University of Liverpool.",2003
68,"Department of Clinical Engineering, University of Liverpool.",2003
69,Department of Clinical Engineering at the University of Liverpool.,2003
70,"Department of Clinical Engineering, University of Liverpool.",2002
71,"Department of Clinical Engineering, University of Liverpool.",2002
72,"Department of Clinical Engineering, University of Liverpool.",2002
73,"Department of Clinical Engineering, University of Liverpool.",2001
74,"Department of Clinical Engineering, University of Liverpool.",2001
75,"Department of Clinical Engineering, University of Liverpool.",2001
76,"Department of Clinical Engineering, Royal Liverpool University Hospital.",2000
77,"Department of Clinical Engineering, Royal Liverpool University Hospital.",2000
78,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",2000
79,"Clinical Engineering Department, Royal Liverpool University, UK.",1999
80,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1999
81,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1999
82,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1999
83,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1998
84,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1998
85,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1997
86,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1997
87,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1997
88,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1997
89,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1996
90,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1996
91,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1996
92,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1996
93,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1995
94,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1995
95,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1995
96,"Clinical Engineering Department, Royal Liverpool University Hospital, UK.",1995
97,"Institute of Medical and Dental Bioengineering, University of Liverpool, United Kingdom.",1990
98,"Association of British Healthcare Industries, London, UK.",2005
99,"Biomatech SAS, a Namsa Company, Chasse sur Rhône, France.",2005
100,"The Techmark Group, Cherry Hill, New Jersey 08003, USA.",2005
101,"Mocon, Minneapolis, Minnesota, USA.",2003
102,"Techmark Group, Cherry Hill, New Jersey, USA.",2003
103,"Techmark Group, Cherry Hill New Jersey 08034-1921, USA.",1999
104,"Department of Pharmaceutical Technology, University of Sarajevo, Faculty of Pharmacy, Cekalusa 90, Bosnia and Herzegovina.",2005
105,"Institute of Legal Medicine, University of Bonn, Germany.",2005
106,"Destiny Pharma Ltd, The Sussex Innovation Centre, Falmer, Brighton, BN1 9SB, England.",2005
107,"Medical Engineering Technologies Ltd., UK.",2005
108,"Medical Engineering Technologies Ltd., Hydra House, 26 North Street, Ashford, TN24 8JR, UK.",2003
109,"Medical Engineering Technologies Ltd, Hydra House, 26 North Street, Ashford TN24 8JR, UK.",2002
110,"Medical Engineering Technologies Ltd, Ashford, UK.",2000
111,"Biomedical Engineering, Trillium Health Centre, Mississauga, Ont., Canada L5B 1B8.",2005
112,"National Center for Hyperbaric Medicine, Medical University of Gdańsk, Powstania Styczniowego 9 B, PL-81-519 Gdynia, Poland.",2005
113,"Amicus Engineering, San Jose, CA, USA.",2005
114,"The Deem Corporation,  Box 44069, Omaha, NE 68144, USA.",2005
115,"Freeman Hospital, Newcastle upon Tyne, United Kingdom.",2005
116,"Department of Internal Medicine and Gastroenterology, S. Orsola Hospital, University of Bologna, Bologna, Italy.",2005
117,"Department of Thoracic and Cardiovascular Surgery, Hannover Medical School, Carl-Neuberg-Str. 1, 30625 Hannover, Germany.",2005
118,"Cardiac Surgery Division, Medtronic, Inc., Minneapolis, MN, USA.",2005
119,"Medical Department, Brookhaven National Laboratory, Upton, New York 11973, USA.",2005
120,"Laboratory Prof. G. Enders & Partners, Stuttgart, Germany.",2005
121,"Dr. Hein GmbH, Fürther Strasse 212, 90429 Nürnberg, Germany.",2005
122,"European Technology for Business Limited Codicote Innovation Centre, St Albans Road, Codicote, Herts, SG4 8WH.",2005
123,"European Technology for Business Limited, Codicote, UK.",2004
124,"Hospital at Home Department, Hygeia Hospital, Greece.",2005
125,"Division of Chemistry and Toxicology Devices, Office of In Vitro Diagnostic Device Evaluatoina nd Safety, Center for Devices and Radiological Health,  Food and Drug Administration, Rockville, Maryland 20850, USA.",2005
126,"Department of Agro-Environmental Science and Technology, Faculty of Agriculture, Bologna University, Italy.",2005
127,"Lung Function Testing Laboratory, Tufts University School of Veterinary Medicine, North Grafton, Massachusetts 01536, USA.",2005
128,"Human Factors, Abbott Laboratories, Abbott Park, IL, USA.",2005
129,"Department of Medicine, Lokmanya Tilak Municipal Medical College and Lokmanya Tilak Municipal General Hospital, Sion, Mumbai.",2005
130,"Food and Drug Administration, Center for Devices and Radiological Health, Office of Science and Engineering Laboratories, Silver Spring, MD, USA.",2005
131,"Center for Devices and Radiological Health, Office of Science and Technology,  Food and Drug Administration, Rockville, MD 20852, USA.",2003
132,"Food and Drug Administration, CDRH/OST, HFZ 112, 12709 Twinbrook Parkway, Rockville, Maryland 20852, USA.",2002
133,"FDA, Center for Devices and Radiological Health, Division of Life Sciences, HFZ 112, Rockville, Maryland 20852, USA.",2000
134,"Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH 44106.",1991
135,"Division of General, Restorative, and Neurological Devices, Office of Device Evaluation, Center for Devices and Radiological Health, Food and Drug Administration, Rockville, Md 20815, USA.",2004
136,"US Food and Drug Administration/CDRH/ODE, Division of General, Restorative, and Neurological Devices, 9200 Corporate Blvd., HFZ-410, Rockville, MD 20850, USA.",2004
137,"Unit of Health Economics and Technology Assessment in Health Care (HunHTA), Department of Policy and Management, Budapest University of Economic Sciences and Public Administration, Hungary.",2004
138,"Centro Regional de Transfusion Sanguínea, Avda. San Alberto Magno s/n, Córdoba, 14004, Spain.",2004
139,"Institut für Infektionsmedizin, Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany.",2004
140,"Institut für Medizinische Mikrobiologie und Immunologie, Universitätsklinikum Hamburg-Eppendorf, Martinistr. 52, Germany.",2002
141,"Institut für Medizinische Mikrobiologie und Immunologie, Universitätsklinikum Hamburg-Eppendorf, D-20246 Hamburg, Germany.",2001
142,"Institut für Medizinische Mikrobiologie und Immunologie, Universitätskrankenhaus Eppendorf, Hamburg, Federal Republic of Germany.",2000
143,"Department of Environmental Health, Harvard School of Public Health, Boston, Massachusetts, USA.",2004
144,"Department of Environmental Health, Occupational Health Program, Harvard School of Public Health, Boston, Massachusetts 02115, USA.",2004
145,"Division of Laboratory Sciences, National Center for Environmental Health, Centers for Disease Control and Prevention, Atlanta, Georgia 30341, USA.",2004
146,"The University of Texas M. D. Anderson Cancer Center, Department of Infectious Diseases, Infection Control and Employee Health, 1515 Holcombe Blvd, Houston, TX 77030, USA.",2004
147,"Department of Medical Specialties, University of Texas M. D. Anderson Cancer Center, Houston 77030, USA.",1998
148,"Cardio Pulmonary Research Institute, Winthrop-University Hospital, SUNY Stony Brook School of Medicine, Mineola 11501, New York, NY, USA.",2004
149,"Winthrop-University Hospital, Mineola, and State University of New York School of Medicine, Stony Brook, New York, USA.",2001
150,"Institute of Infectious Diseases and Public Health, Ancona, Italy.",2003
151,"Institute of Infectious Diseases and Public Health, University of Ancona, Ancona, Italy.",2003
152,"Department of General Surgery, INRCA IRRCS, Università Politecnica delle Marche, Ancona, Italy.",2004
153,"Department of Human Microbiology, Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel.",2004
154,"Department of Human Microbiology, Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel.",2003
155,"Department of Bioengineering, Rice University,  Box 1892, MS 142, Houston, TX 77251-1892, USA.",2004
156,"Department of Bioengineering, Rice University, PO Box 1892, Houston, TX 77005, USA.",2002
157,"Department of Chemistry, University of Rome La Sapienza, Piazzale Aldo Moro 5, 00185 Rome, Italy.",2004
158,"Department of Chemistry, University La Sapienza,  Aldo Moro, Rome 00185, Italy.",2004
159,"Department of Pediatrics and Communicable Diseases, Division of Pediatric Critical Care Medicine , University of Michigan Medical School and University Health System, Ann Arbor, MI 48109, USA.",2004
160,"Medicines and Healthcare products Regulatory Agency (MHRA), Market Towers 1 Nine Elms Lane, London SW8 5NQ, UK.",2004
161,"Department of Biomedical Engineering, Purdue University, West Lafayette, IN 47907-2022, USA.",2004
162,"Department of Orthopaedic Surgery, University of Missouri-Columbia, Columbia, MO 65212, USA.",2004
163,"Veterans Administration Medical Center, Memphis, Tennessee 38104.",1987
164,"Healthcare A2Z, Sheffield, UK.",2004
165,"Department of Orthopedic Surgery and Biochemistry, Rush Medical College at Rush University Medical Center, 1725 West Harrison Street, Chicago, IL 60612, USA.",2004
166,"Department of Radiology, University of Arizona College of Medicine, 1501 N Campbell Ave, PO Box 245067, Tucson, AZ 85724-5067, USA.",2004
167,"Department of Radiology, University of Arizona College of Medicine, 1501 N Campbell Ave, PO Box 245067, Tucson, AZ 85724-5067, USA.",2004
168,"Department of Radiology, University of Arizona Health Sciences Center, 1501 N Campbell Ave, Tucson, AZ 85724, USA.",2003
169,"Department of Radiology, University of Arizona Health Sciences Center, 1501 N Campbell Ave, Tucson, AZ 85724, USA.",2003
170,"Department of Radiology, University of Arizona, USA.",2001
171,"University of Arizona, USA.",1998
172,"Department of Radiology, College of Medicine, University of Arizona, Tucson, USA.",1997
173,"Department of Radiology, University of Arizona, Tucson, USA.",1995
174,"Biomaterials-Related Infection Group, School of Medical and Surgical Sciences, University of Nottingham, Nottingham NG7 2UH, UK.",2004
175,"Center for Devices and Radiological Health, US Food and Drug Administration, Department of Health and Human Services, Rockville, MD, USA.",2004
176,"Food and Drug Administration,  Department of Health and Human Services, 9200 Corporate Boulevard, Rockville, MD 20850, USA.",2003
177,"Center for Devices and Radiological Health,  Food and Drug Administration, 9200 Corporate Blvd., HFZ-450, Rockville, MD 20850, USA.",2002
178,"Nobil Bio Ricerche, Str. S. Rocco 36, 14018 Villafranca d'Asti, Italy.",2004
179,"Division of Interventional Neuroradiology, Department of Radiology and Radiological Sciences, The Johns Hopkins Hospital, 600 North Wolfe Street, Baltimore, Maryland 21287, USA.",2004
180,"Department of Emergency Medicine, University of Rochester School of Medicine, New York, USA.",2004
181,"FDA, Division of Ophthalmic and ENT Devices, 9200 Corporate Blvd., Rockville, MD 20850, USA.",2004
182,"Department of Infectious Diseases, The Cleveland Clinic Foundation, Cleveland, Ohio, USA.",2004
183,"Department of Health Sciences, University of York, York YO10 5DD.",2004
184,"Celsus, London, UK.",2003
185,"Department of Ophthalmology, University of Antwerp, Belgium.",2004
186,"Département de Génie Mécanique, Ecole Polytechnique de Montréal, Montréal, Quebec, Canada.",2004
187,"Laboratory of Human Bacterial Pathogenesis, Rocky Mountain Laboratories, NIAID, National Institutes of Health, Hamilton, Montana 59840, USA.",2004
188,"Laboratory of Human Bacterial Pathogenesis, Rocky Mountain Laboratories, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Hamilton, Montana, USA.",2004
189,"Rocky Mountain Laboratories, Laboratory of Human Bacterial Pathogenesis, National Institute of Allergy and Infectious Diseases, The National Institutes of Health, 903 S 4th Street, Hamilton, MT 59840, USA.",2002
190,"Rocky Mountain Laboratories, Laboratory of Human Bacterial Pathogenesis, National Institute of Allergy and Infectious Diseases, The National Institutes of Health, 903 S 4th Street, Hamilton, MT 59840, USA.",2004
191,"Mikrobielle Genetik, Abteilung für Physikalische Biochemie, Universität Tübingen, Tübingen, Germany.",2001
192,"School of Dentistry, La Sapienza University, Rome, Italy.",2004
193,"Service de Santé Publique, Paris.",2004
194,"Department of Biomedical Informatics, College of Physicians and Surgeons, Columbia University, USA.",2004
195,"School of Health Information Sciences, University of Texas Health Science Center at Houston, 7000 Fannin, Suite 600, Houston, TX 77030, USA.",2003
196,"KfH Nierenzentrum München-Laim, Munich, Germany.",2004
197,"Center for Biofilm Engineering, Montana State University, USA.",2004
198,"Department of Biological Sciences, Faculty of Science, University of Calgary, Alberta, Canada.",1993
199,"Service de Gestion du Risque Infectieux, University Hospital of Lille, Lille, France.",2004
200,"Laboratoire d'Hygiene Hospitaliere, Hopitaux Universitaires de Strasbourg, 4 rue de Kirschleger, F-67000 Strasbourg, France.",2004
201,"Epidemic Intelligence Service, Epidemiology Program Office, Division of Applied Public Health Training, Centers for Disease Control and Prevention, Atlanta, Georgia 30333, USA.",2004
202,"Bio-tech Services Department, Iowa Health System, Des Moines, USA.",2004
203,"Tokyo Medical and Dental University, Yushima 1-5-45, Bunkyo-ku, Tokyo 113-8519, Japan.",2004
204,"Public Policy Division, California Dental Association, Sacramento 95814, USA.",2004
205,"Cleveland Clinic Foundation, Department of Bioethics, Cleveland, Ohio, USA.",2004
206,"Allens Arthur Robinson, Stock Exchange Centre, Melbourne Victoria, Australia.",2004
207,"Center for Biofilm Engineering, Montana State University-Bozeman, USA.",2004
208,"Moscow State Institute of Electronic Technology, Moscow, 103498, K-498, Russia.",2004
209,"Centro di Ricerca per l'Analisi dei Modelli e dell 'Informazione nei Sistemi Biomedici Universita La Sapienza di Roma Corso Vittorio Emanuele 244-00186 Roma, Italy.",2004
210,"Chubb & Son, USA.",2004
211,"CIMIT/MGH/Harvard Medical School, Cambridge, MA 02139, USA.",2004
212,"Division of Cardiovascular Devices, Office of Device Evaluation, Food and Drug Administration, Rockville, MD, USA.",2004
213,"Department of Medical Microbiology, University of Manitoba, Winnipeg, Manitoba, Canada.",2004
214,"Department of Clinical Laboratory Science, Wayne State University, Detroit, Michigan 48202, USA.",2001
215,"StBoniface Research Center, University of Manitoba, Canada.",1999
216,"Clearant, Inc. 401, Professional Drive, Gaithersburg, MD 20879, USA.",2004
217,"Dept. of Internal Medicine, Centre Hospitalier Universitaire de Brabois, Vandoeuvre-les-Nancy, France.",2004
218,"Food and Drug Administration Center for Devices and Radiological Health, Rockville, Maryland 20850, USA.",2004
219,"Office of Surveillance and Biometrics, Food and Drug Administration, Rockville, MD 20850, USA.",1995
220,"Bar-Ilan University, Faculty of Life Sciences, Ramat Gan 52900, Israel.",2004
221,"Instituto de Magnetismo Aplicado. Laboratorio ""Salvador Velayos"", RENFE-UCM-CSIC, Madrid, Spain.",2004
222,"Laboratory for Biocompatibility Research on Implant Materials, Istituti Ortopedici Rizzoli, Bologna, Italy.",1998
223,"Laboratory for Biocompatibility Research on Implant Materials, Istituti Ortopedici Rizzoli, Bologna, Italy.",1998
224,"Health Systems Administration program at Georgetown University, USA.",2004
225,"Navigant Biotechnologies Inc., Lakewood, CO 80215, USA.",2004
226,"Navigant Biotechnologies, Lakewood, Colorado 80215, USA.",2004
227,"Department of Coloproctology, Lister Surgical Unit, Glasgow Royal Infirmary, Glasgow, UK.",2004
228,"Department Orthopaedics, Sir Charles Gairdner Hospitals Perth, Western Australia.",2004
229,"Laboratory of Human Bacterial Pathogenesis, Rocky Mountain Laboratories, The National Institutes of Health, 903 S. 4th Street, National Institute of Allergy and Infectious Diseases, Hamilton, MT 59840, USA.",2004
230,"Hôpital Saint Michel, 33 rue Olivier de Serres, 75015 Paris, France.",2004
231,"Ecole de Santé Publique, Vandoeuvre-les-Nancy, France.",2004
232,"Department of Medical Informatics, Shimane University Hospital, Izumo, Japan.",2004
233,"Laboratory of Decision-making and Cognition, Department of Biomedical Informatics, Columbia University, New York, NY 10032-372, USA.",2004
234,"Department of Molecular Science and Technology, Ajou University, Suwon 442-749, Korea.",2004
235,"School of Materials Science, Japan Advanced Institute of Science and Technology, 1-1 Asahidai, Tatsunokuchi, Ishikawa 923-1292, Japan.",2003
236,"School of Materials Science, Japan Advanced Institute of Science and Technology, 1-1 Asahidai, Tatsunokuchi, Ishikawa 923-1292, Japan.",2002
237,"Biomaterials Research Center, Korea Institute of Science and Technology, Seoul 130-650, Republic of Korea.",2003
238,"Department of Emergency Medicine, University of Florida, Jacksonville, USA.",2004
239,"Hospital Epidemiology, University of North Carolina Health Care System, Chapel Hill, NC 27599-7030, USA.",2004
240,"Division of Infectious Diseases, University of North Carolina (UNC) School of Medicine and the Department of Hospital Epidemiology, UNC Health Care System, Chapel Hill, NC 27599-7030, USA.",2001
241,"Division of Infectious Diseases, University of North Carolina School of Medicine, Chapel Hill 27599-7030, USA.",2000
242,"Division of Infectious Diseases, University of North Carolina School of Medicine, Chapel Hill, USA.",1996
243,"Department of Medicine, University of North Carolina, Chapel Hill 27599-7030.",1991
244,"Division of Infectious Diseases, University of North Carolina (UNC) School of Medicine, Chapel Hill, USA.",2002
245,"School of Pharmacy, The Queen's University of Belfast, UK.",2004
246,"Medical Devices Group, School of Pharmacy, The Queen's University of Belfast, Medical Biology Centre, Belfast, BT9 7BL, UK.",2003
247,"Xiomateria Ltd, School of Pharmacy, Queen's University Belfast, Lisburn Road, Belfast BT9 7BL, UK.",2002
248,"Medical Devices Unit, School of Pharmacy, The Queen's University of Belfast, Medical Biology center, 97, Lisburn Road, Belfast BT9 7BL, Northern Ireland, United Kingdom.",2004
249,"IZKF-BIOMAT, Aachen, Germany.",2004
250,"Materials Science Program, University of Wisconsin, Madison 53706, USA.",2004
251,"Institute of Anatomy and Cell Biology, Göteborg University, Göteborg, Sweden.",2004
252,"Department of Polymer Engineering, University of Minho, Campus de Azurém, 4810-058 Guimarães, Portugal.",2004
253,"Clinical Engineering Department, University of Liverpool, UK.",2000
254,"Institute for Biomedical Technology (BMTI) and Department of Polymer Chemistry and Biomaterials, Faculty of Chemical Technology, University of Twente, PO Box 217, 7500 AE Enschede, The Netherlands.",2004
255,"Drug Delivery & Biomaterials Research Group, School of Pharmacy and Biomolecular Sciences, University of Brighton, Moulsecoomb, Brighton BN2 4GJ, UK",2004
256,"Biomedical Materials Research Group, School of Pharmacy and Biomolecular Sciences, University of Brighton, UK.",2002
257,"School of Pharmacy and Biomolecular Sciences, University of Brighton, Brighton, UK.",2003
258,"AO Research Institute, Clavadelerstrasse, CH7270 Davos Platz, Switzerland.",2004
259,"AO Research Institute, Interface Biology, Clavadelerstrasse, CH7270 Davos Platz, Switzerland.",2004
260,"Section of Neuroradiology, Department of Radiology, Geneva University Hospital, Switzerland.",2004
261,"Institute for Frontier Medical Sciences, Kyoto University, Kyoto, Japan.",2004
262,"Department of Obstetrics and Gynaecology, Ealing Hospital NHS Trust, Middlesex, London, UK.",2004
263,"Laboratory for Analytical Chemistry, Faculty of Pharmaceutical Sciences, Ghent University, Gent, Belgium.",2004
264,"Laboratory for Analytical Chemistry, Faculty of Pharmaceutical Sciences, University of Ghent, Belgium.",2003
265,"Laboratory for Analytical Chemistry, Faculty of Pharmaceutical Sciences, Ghent University, Gent, Belgium.",2003
266,"KRAUTH medical KG (GmbH & Co), Hamburg, Germany.",2004
267,"SurModics Inc, Eden Prairie, Minnesota 55344, USA.",2004
268,"The Lewin Group, Quintile Scotland Limited, Heriot-Watt University Research Park, Edinburgh, UK.",2004
269,"Wittenburg bv, Nijkerkerveen, The Netherlands.",2004
270,"Consultant Cardiovascular Surgeon, Numune Training and Research Hospital, Ankara, Turkey.",2004
271,"Abbott Laboratories, Diagnostics Division, Department 9MS, Abbott Park IL 60046-6015, USA.",2004
272,"Eastman Kodak Company, Rochester, New York, USA.",2004
273,"Scandaglia & Ryan, Chicago, IL, USA.",2004
274,"University of California, Irvine College of Medicine, Newport Beach, CA 92660, USA.",2004
275,"Clarigen, Inc., Carlsbad, CA 92008, USA.",2004
276,"Division of Cardiovascular Devices, University of Ottawa Heart Institute, Ottawa, Ontario, Canada.",2004
277,"Cardiovascular Devices Division, University of Ottawa Heart Institute, Ontario, Canada.",1997
278,"Cardiovascular Devices Division, University of Ottawa Heart Institute, Ontario, Canada.",1995
279,"Cardiovascular Devices Division, University of Ottawa Heart Institute, Ontario, Canada.",1995
280,"Department of Bioengineering, University of Washington, Seattle, Washington 98195, USA.",2004
281,"National Standards Authority of Ireland, Glasnevin, Dublin, Ireland.",2004
282,"Medical Device Department, National Standards Authority of Ireland, Glasnevin, Dublin 9, Ireland.",2002
283,"PA Consulting Group, Melbourne, UK.",2004
284,"CEA/DSV/DRM/GIDTIP, Route du Panorama, 92265 Fontenay-aux-Roses, France.",2004
285,"STERIS Corporation, Mentor, Ohio 44060-1834, USA.",2000
286,"Department of Pediatrics A, Unit of Pediatric Infectious Diseases, Schneider Children's Medical Center of Israel, Tel Aviv, Israel.",2004
287,"Department of Radiology, University of Arizona College of Medicine, Tucson, Arizona, USA.",2004
288,"Department of Surgery and Urology, University of Melbourne, Austin Hospital, Level 8, HSB, Studley Road, Heidelberg, Victoria 3084, Australia.",2004
289,"MedNova Ltd, Galway, Ireland.",2004
290,"Pera Innovation, Melton Mowbray, UK.",2004
291,"Millipore Corp., Life Sciences Division, OEM Products, Danvers, Massachusetts 01921, USA.",2004
292,"NAMSA, Northwood, Ohio 43619, USA.",2004
293,"Glickman Urological Institute, Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH 44195, USA.",2004
294,"Division of Cardiovascular Medicine, Department of Medicine, Brigham and Women's Hospital, Tower 3B, 75 Francis Street, Boston, MA 02115, USA.",2004
295,"Department of Environmental Health Sciences, Medical University of Warsaw, Banacha 1, str. 02-097, Warsaw, Poland.",2004
296,"Department of Environmental Health Sciences, University of Medicine, Warsaw, Poland.",1997
297,"Departments of Anaesthesia and Intensive Care, Cairns Base Hospital, James Cook University, Cairns, Queensland.",2004
298,"IVD-Consulting, Marburg, Germany.",2004
299,"IVD-Consulting, Marburg, Germany.",2003
300,"Department of Bioengineering, Rice University,  Box 1892, MS 142, Houston, TX 77251-1892, USA.",2004
301,"Faculty of Electrical Engineering, Laboratory of Metrology and Quality, University of Ljubljana, Trzaska 25, 1000 Ljubljana, Slovenia.",2004
302,"Department of Pathology, University Medical Centre Utrecht,  Box 85500, 3508 GA Utrecht, The Netherlands.",2004
303,"First Department of Internal Medicine, University of Mainz, Langenbeckstrasse 1, 55101 Mainz, Germany.",2004
304,"Jessop Wing, Sheffield Teaching Hospitals, UK.",2004
